district,week,y_true,horizon,model,yhat
001,2019-01-07,281.0,1,seasonal_naive,282.0
001,2019-01-07,281.0,1,sarima,287.797825912276
001,2019-01-07,281.0,1,prophet,283.9238427496979
001,2019-01-07,281.0,1,xgboost,285.1912841796875
001,2019-01-14,269.0,1,seasonal_naive,283.0
001,2019-01-14,269.0,1,sarima,287.6707210605031
001,2019-01-14,269.0,1,prophet,283.9238427496979
001,2019-01-14,269.0,1,xgboost,291.0204162597656
001,2019-01-21,231.0,1,seasonal_naive,299.0
001,2019-01-21,231.0,1,sarima,292.24906213861783
001,2019-01-21,231.0,1,prophet,288.4447297825535
001,2019-01-21,231.0,1,xgboost,276.36273193359375
001,2019-01-28,290.0,1,seasonal_naive,248.0
001,2019-01-28,290.0,1,sarima,251.81982479499408
001,2019-01-28,290.0,1,prophet,288.4447297825535
001,2019-01-28,290.0,1,xgboost,271.5247497558594
001,2019-02-04,314.0,1,seasonal_naive,267.0
001,2019-02-04,314.0,1,sarima,269.8331425547302
001,2019-02-04,314.0,1,prophet,258.362409512892
001,2019-02-04,314.0,1,xgboost,273.6157531738281
001,2019-02-11,278.0,1,seasonal_naive,296.0
001,2019-02-11,278.0,1,sarima,281.28592018245615
001,2019-02-11,278.0,1,prophet,258.362409512892
001,2019-02-11,278.0,1,xgboost,276.0131530761719
001,2019-02-18,257.0,1,seasonal_naive,278.0
001,2019-02-18,257.0,1,sarima,288.07198761910934
001,2019-02-18,257.0,1,prophet,280.4453212167898
001,2019-02-18,257.0,1,xgboost,275.8298034667969
001,2019-02-25,256.0,1,seasonal_naive,279.0
001,2019-02-25,256.0,1,sarima,280.2336634984649
001,2019-02-25,256.0,1,prophet,280.4453212167898
001,2019-02-25,256.0,1,xgboost,291.029541015625
001,2019-03-04,295.0,1,seasonal_naive,299.0
001,2019-03-04,295.0,1,sarima,289.7900123784309
001,2019-03-04,295.0,1,prophet,282.0025661527851
001,2019-03-04,295.0,1,xgboost,282.6356506347656
001,2019-03-11,250.0,1,seasonal_naive,263.0
001,2019-03-11,250.0,1,sarima,271.38397847524743
001,2019-03-11,250.0,1,prophet,282.0025661527851
001,2019-03-11,250.0,1,xgboost,293.8762512207031
001,2019-03-18,289.0,1,seasonal_naive,283.0
001,2019-03-18,289.0,1,sarima,279.260036783755
001,2019-03-18,289.0,1,prophet,270.3076184572894
001,2019-03-18,289.0,1,xgboost,278.6625061035156
001,2019-03-25,303.0,1,seasonal_naive,262.0
001,2019-03-25,303.0,1,sarima,270.78680286917944
001,2019-03-25,303.0,1,prophet,270.3076184572894
001,2019-03-25,303.0,1,xgboost,288.80615234375
001,2019-04-01,296.0,1,seasonal_naive,289.0
001,2019-04-01,296.0,1,sarima,304.57517339844844
001,2019-04-01,296.0,1,prophet,295.7242355523275
001,2019-04-01,296.0,1,xgboost,295.1527404785156
001,2019-04-08,278.0,1,seasonal_naive,304.0
001,2019-04-08,278.0,1,sarima,305.1677136945394
001,2019-04-08,278.0,1,prophet,295.7242355523275
001,2019-04-08,278.0,1,xgboost,324.17974853515625
001,2019-04-15,257.0,1,seasonal_naive,301.0
001,2019-04-15,257.0,1,sarima,292.7695864777084
001,2019-04-15,257.0,1,prophet,293.9097279773646
001,2019-04-15,257.0,1,xgboost,294.2662658691406
001,2019-04-22,284.0,1,seasonal_naive,348.0
001,2019-04-22,284.0,1,sarima,323.0716808875488
001,2019-04-22,284.0,1,prophet,293.9097279773646
001,2019-04-22,284.0,1,xgboost,293.62744140625
001,2019-04-29,299.0,1,seasonal_naive,317.0
001,2019-04-29,299.0,1,sarima,293.0789737521172
001,2019-04-29,299.0,1,prophet,295.66109040226956
001,2019-04-29,299.0,1,xgboost,307.5843505859375
001,2019-05-06,362.0,1,seasonal_naive,315.0
001,2019-05-06,362.0,1,sarima,306.1410284178963
001,2019-05-06,362.0,1,prophet,295.66109040226956
001,2019-05-06,362.0,1,xgboost,305.5004577636719
001,2019-05-13,295.0,1,seasonal_naive,340.0
001,2019-05-13,295.0,1,sarima,327.42041392091863
001,2019-05-13,295.0,1,prophet,314.76397218536874
001,2019-05-13,295.0,1,xgboost,318.3866882324219
001,2019-05-20,308.0,1,seasonal_naive,361.0
001,2019-05-20,308.0,1,sarima,333.80062345147473
001,2019-05-20,308.0,1,prophet,314.76397218536874
001,2019-05-20,308.0,1,xgboost,303.0729675292969
001,2019-05-27,337.0,1,seasonal_naive,303.0
001,2019-05-27,337.0,1,sarima,316.11833528263855
001,2019-05-27,337.0,1,prophet,313.9555907702652
001,2019-05-27,337.0,1,xgboost,309.8359069824219
001,2019-06-03,286.0,1,seasonal_naive,309.0
001,2019-06-03,286.0,1,sarima,320.66892544307444
001,2019-06-03,286.0,1,prophet,313.9555907702652
001,2019-06-03,286.0,1,xgboost,318.88775634765625
001,2019-06-10,352.0,1,seasonal_naive,355.0
001,2019-06-10,352.0,1,sarima,329.861830955631
001,2019-06-10,352.0,1,prophet,326.5115763436656
001,2019-06-10,352.0,1,xgboost,299.827880859375
001,2019-06-17,332.0,1,seasonal_naive,338.0
001,2019-06-17,332.0,1,sarima,328.71973427467066
001,2019-06-17,332.0,1,prophet,326.5115763436656
001,2019-06-17,332.0,1,xgboost,322.1921081542969
001,2019-06-24,307.0,1,seasonal_naive,273.0
001,2019-06-24,307.0,1,sarima,289.30998714965307
001,2019-06-24,307.0,1,prophet,302.15131572802335
001,2019-06-24,307.0,1,xgboost,329.9414367675781
001,2019-07-01,322.0,1,seasonal_naive,347.0
001,2019-07-01,322.0,1,sarima,327.8380477039993
001,2019-07-01,322.0,1,prophet,302.15131572802335
001,2019-07-01,322.0,1,xgboost,335.3257141113281
001,2019-07-08,303.0,1,seasonal_naive,298.0
001,2019-07-08,303.0,1,sarima,316.61993977800944
001,2019-07-08,303.0,1,prophet,331.85278025498053
001,2019-07-08,303.0,1,xgboost,335.3243408203125
001,2019-07-15,290.0,1,seasonal_naive,308.0
001,2019-07-15,290.0,1,sarima,349.68080978276066
001,2019-07-15,290.0,1,prophet,331.85278025498053
001,2019-07-15,290.0,1,xgboost,321.1798095703125
001,2019-07-22,604.0,1,seasonal_naive,525.0
001,2019-07-22,604.0,1,sarima,502.600026165264
001,2019-07-22,604.0,1,prophet,390.4462853929179
001,2019-07-22,604.0,1,xgboost,347.77294921875
001,2019-07-29,263.0,1,seasonal_naive,333.0
001,2019-07-29,263.0,1,sarima,334.622387066187
001,2019-07-29,263.0,1,prophet,390.4462853929179
001,2019-07-29,263.0,1,xgboost,344.4789123535156
001,2019-08-05,288.0,1,seasonal_naive,328.0
001,2019-08-05,288.0,1,sarima,323.92811203047904
001,2019-08-05,288.0,1,prophet,339.78207494416284
001,2019-08-05,288.0,1,xgboost,316.7127990722656
001,2019-08-12,268.0,1,seasonal_naive,296.0
001,2019-08-12,268.0,1,sarima,305.4376228795568
001,2019-08-12,268.0,1,prophet,339.78207494416284
001,2019-08-12,268.0,1,xgboost,306.4520263671875
001,2019-08-19,272.0,1,seasonal_naive,296.0
001,2019-08-19,272.0,1,sarima,288.53915963732175
