primary_type,week,count
ASSAULT,2004-10-25,629
ASSAULT,2004-11-01,502
ASSAULT,2004-11-08,469
ASSAULT,2004-11-15,510
ASSAULT,2004-11-22,414
ASSAULT,2004-11-29,444
ASSAULT,2004-12-06,478
ASSAULT,2004-12-13,432
ASSAULT,2004-12-20,356
ASSAULT,2004-12-27,416
ASSAULT,2005-01-03,421
ASSAULT,2005-01-10,439
ASSAULT,2005-01-17,357
ASSAULT,2005-01-24,453
ASSAULT,2005-01-31,460
ASSAULT,2005-02-07,466
ASSAULT,2005-02-14,475
ASSAULT,2005-02-21,472
ASSAULT,2005-02-28,509
ASSAULT,2005-03-07,457
ASSAULT,2005-03-14,549
ASSAULT,2005-03-21,422
ASSAULT,2005-03-28,583
ASSAULT,2005-04-04,620
ASSAULT,2005-04-11,567
ASSAULT,2005-04-18,540
ASSAULT,2005-04-25,560
ASSAULT,2005-05-02,591
ASSAULT,2005-05-09,570
ASSAULT,2005-05-16,580
ASSAULT,2005-05-23,636
ASSAULT,2005-05-30,618
ASSAULT,2005-06-06,641
ASSAULT,2005-06-13,601
ASSAULT,2005-06-20,590
ASSAULT,2005-06-27,562
ASSAULT,2005-07-04,590
ASSAULT,2005-07-11,680
ASSAULT,2005-07-18,537
ASSAULT,2005-07-25,546
ASSAULT,2005-08-01,613
ASSAULT,2005-08-08,532
ASSAULT,2005-08-15,526
ASSAULT,2005-08-22,552
ASSAULT,2005-08-29,568
ASSAULT,2005-09-05,598
ASSAULT,2005-09-12,618
ASSAULT,2005-09-19,588
ASSAULT,2005-09-26,572
ASSAULT,2005-10-03,554
ASSAULT,2005-10-10,530
ASSAULT,2005-10-17,489
ASSAULT,2005-10-24,476
ASSAULT,2005-10-31,506
ASSAULT,2005-11-07,435
ASSAULT,2005-11-14,433
ASSAULT,2005-11-21,370
ASSAULT,2005-11-28,405
ASSAULT,2005-12-05,355
ASSAULT,2005-12-12,406
ASSAULT,2005-12-19,385
ASSAULT,2005-12-26,395
ASSAULT,2006-01-02,429
ASSAULT,2006-01-09,446
ASSAULT,2006-01-16,442
ASSAULT,2006-01-23,445
ASSAULT,2006-01-30,478
ASSAULT,2006-02-06,447
ASSAULT,2006-02-13,404
ASSAULT,2006-02-20,465
ASSAULT,2006-02-27,476
ASSAULT,2006-03-06,460
ASSAULT,2006-03-13,464
ASSAULT,2006-03-20,497
ASSAULT,2006-03-27,541
ASSAULT,2006-04-03,469
ASSAULT,2006-04-10,519
ASSAULT,2006-04-17,573
ASSAULT,2006-04-24,504
ASSAULT,2006-05-01,583
ASSAULT,2006-05-08,521
ASSAULT,2006-05-15,555
ASSAULT,2006-05-22,581
ASSAULT,2006-05-29,592
ASSAULT,2006-06-05,525
ASSAULT,2006-06-12,554
ASSAULT,2006-06-19,559
ASSAULT,2006-06-26,515
ASSAULT,2006-07-03,596
ASSAULT,2006-07-10,586
ASSAULT,2006-07-17,540
ASSAULT,2006-07-24,539
ASSAULT,2006-07-31,557
ASSAULT,2006-08-07,518
ASSAULT,2006-08-14,543
ASSAULT,2006-08-21,535
ASSAULT,2006-08-28,506
ASSAULT,2006-09-04,534
ASSAULT,2006-09-11,494
ASSAULT,2006-09-18,504
ASSAULT,2006-09-25,500
ASSAULT,2006-10-02,525
